task_source_id,task_family,source_edge,source_family_left,source_family_right,window_tag,generation_seed,executable_source_family,executable_seed,capability_pair,geometry_key,reveal_step,decision_step,simulator_scope,proxy_fault_family,env_template_family,materialization_rule,contract_violation_count,history_length_is_one,action_history_mode_full,include_privileged_params_false,wheel_observation_mode_none,obstacle_relative_velocity_mode_zero
m1680-spec-0010,T4,t4_actuator_delay_response|actuator_delay_step,t4_actuator_delay_response,actuator_delay_step,mapping_window_unspecified,168010,t4_actuator_delay_response,168010,tau_fast|tau_slow,delay_left,30,38,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0011,T4,t4_actuator_delay_response|capability_step_up,t4_actuator_delay_response,capability_step_up,mapping_window_unspecified,168011,t4_actuator_delay_response,168011,steer_fast|steer_slow,delay_left,30,38,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0012,T4,t4_capability_step_temporal|capability_step_down,t4_capability_step_temporal,capability_step_down,mapping_window_unspecified,168012,t4_capability_step_temporal,168012,drive_low|drive_high,temporal_right,28,36,existing_public_source,False,t4_capability_step_temporal,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0013,T4,t4_staged_warmup_capability|capability_step_up,t4_staged_warmup_capability,capability_step_up,mapping_window_unspecified,168013,t4_staged_warmup_capability,168013,brake_low|brake_high,warmup_right,24,32,existing_public_source,False,t4_staged_warmup_capability,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0014,T4,actuator_delay_step|capability_step_up,capability_step_up,actuator_delay_step,reveal_plus_4,168014,capability_step_up,168014,mu_recover|mu_low,step_up_curve,26,34,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0015,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_step,t4_capability_step_temporal,mapping_window_unspecified,168015,actuator_delay_step,168015,fast_steer|slow_steer,actuator_step_curve,30,38,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0016,T4,capability_step_down|t4_actuator_delay_response,capability_step_down,t4_actuator_delay_response,mapping_window_unspecified,168016,capability_step_down,168016,mu_nominal|mu_drop,step_down_left,34,42,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0017,T4,t4_actuator_delay_response|actuator_delay_step,t4_actuator_delay_response,actuator_delay_step,mapping_window_unspecified,168017,t4_actuator_delay_response,168017,steer_fast|steer_slow,delay_left,38,46,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0018,T4,t4_actuator_delay_response|capability_step_up,t4_actuator_delay_response,capability_step_up,mapping_window_unspecified,168018,t4_actuator_delay_response,168018,tau_fast|tau_slow,delay_right,38,46,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0019,T4,t4_capability_step_temporal|capability_step_down,t4_capability_step_temporal,capability_step_down,mapping_window_unspecified,168019,t4_capability_step_temporal,168019,tire_soft|tire_stiff,temporal_right,36,44,existing_public_source,False,t4_capability_step_temporal,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0020,T4,t4_staged_warmup_capability|capability_step_up,t4_staged_warmup_capability,capability_step_up,mapping_window_unspecified,168020,t4_staged_warmup_capability,168020,low_mu|high_mu,warmup_curve,32,40,existing_public_source,False,t4_staged_warmup_capability,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0021,T4,actuator_delay_step|capability_step_up,capability_step_up,actuator_delay_step,reveal_plus_4,168021,capability_step_up,168021,brake_recover|brake_low,step_up_curve,34,42,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0022,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_step,t4_capability_step_temporal,mapping_window_unspecified,168022,actuator_delay_step,168022,fast_brake|slow_brake,actuator_step_left,46,54,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0023,T4,capability_step_down|t4_actuator_delay_response,capability_step_down,t4_actuator_delay_response,mapping_window_unspecified,168023,capability_step_down,168023,brake_nominal|brake_drop,step_down_left,42,50,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0024,T4,t4_actuator_delay_response|actuator_delay_step,t4_actuator_delay_response,actuator_delay_step,mapping_window_unspecified,168024,t4_actuator_delay_response,168024,tau_fast|tau_slow,delay_right,46,54,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0025,T4,t4_actuator_delay_response|capability_step_up,t4_actuator_delay_response,capability_step_up,mapping_window_unspecified,168025,t4_actuator_delay_response,168025,steer_fast|steer_slow,delay_right,46,54,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0026,T4,t4_capability_step_temporal|capability_step_down,t4_capability_step_temporal,capability_step_down,mapping_window_unspecified,168026,t4_capability_step_temporal,168026,drive_low|drive_high,temporal_s,44,52,existing_public_source,False,t4_capability_step_temporal,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0027,T4,t4_staged_warmup_capability|capability_step_up,t4_staged_warmup_capability,capability_step_up,mapping_window_unspecified,168027,t4_staged_warmup_capability,168027,brake_low|brake_high,warmup_curve,40,48,existing_public_source,False,t4_staged_warmup_capability,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0028,T4,actuator_delay_step|capability_step_up,capability_step_up,actuator_delay_step,reveal_plus_4,168028,capability_step_up,168028,mu_recover|mu_low,step_up_left,26,34,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0029,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_step,t4_capability_step_temporal,mapping_window_unspecified,168029,actuator_delay_step,168029,fast_steer|slow_steer,actuator_step_left,30,38,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0030,T4,capability_step_down|t4_actuator_delay_response,capability_step_down,t4_actuator_delay_response,mapping_window_unspecified,168030,capability_step_down,168030,mu_nominal|mu_drop,step_down_right,26,34,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0031,T4,t4_actuator_delay_response|actuator_delay_step,t4_actuator_delay_response,actuator_delay_step,mapping_window_unspecified,168031,t4_actuator_delay_response,168031,steer_fast|steer_slow,delay_right,30,38,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0032,T4,t4_actuator_delay_response|capability_step_up,t4_actuator_delay_response,capability_step_up,mapping_window_unspecified,168032,t4_actuator_delay_response,168032,tau_fast|tau_slow,delay_curve,30,38,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0033,T4,t4_capability_step_temporal|capability_step_down,t4_capability_step_temporal,capability_step_down,mapping_window_unspecified,168033,t4_capability_step_temporal,168033,tire_soft|tire_stiff,temporal_s,28,36,existing_public_source,False,t4_capability_step_temporal,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0034,T4,t4_staged_warmup_capability|capability_step_up,t4_staged_warmup_capability,capability_step_up,mapping_window_unspecified,168034,t4_staged_warmup_capability,168034,low_mu|high_mu,warmup_left,32,40,existing_public_source,False,t4_staged_warmup_capability,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0035,T4,actuator_delay_step|capability_step_up,capability_step_up,actuator_delay_step,reveal_plus_4,168035,capability_step_up,168035,brake_recover|brake_low,step_up_left,34,42,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0036,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_step,t5_near_boundary_warmup,reveal_plus_4,168036,t5_near_boundary_warmup,168036,low_mu|high_mu,near_right,42,50,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0037,T5,brake_fade_or_loss_proxy|late_reveal_boundary,brake_fade_or_loss_proxy,late_reveal_boundary,mapping_window_unspecified,168037,brake_fade_or_loss_proxy,168037,brake_ok|brake_loss_proxy,brake_fade_right,28,36,single_track_symmetric_proxy,True,t5_near_boundary_warmup,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0038,T5,capability_step_down|t5_near_boundary_warmup,capability_step_down,t5_near_boundary_warmup,decision_minus_24,168038,t5_near_boundary_warmup,168038,low_mu|high_mu,near_curve,42,50,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0039,T5,curved_boundary_obstacle|drive_loss_proxy,curved_boundary_obstacle,drive_loss_proxy,mapping_window_unspecified,168039,curved_boundary_obstacle,168039,understeer|neutral,curved_obstacle_s,44,52,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0040,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,t5_boundary_axis_retarget,curved_boundary_obstacle,decision_minus_32,168040,t5_boundary_axis_retarget,168040,understeer|oversteer,boundary_left,56,64,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0041,T5,drive_loss_proxy|curved_boundary_obstacle,drive_loss_proxy,curved_boundary_obstacle,mapping_window_unspecified,168041,drive_loss_proxy,168041,drive_ok|drive_cut_proxy,drive_loss_left,48,56,single_track_symmetric_proxy,True,t5_near_boundary_warmup,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0042,T5,t5_boundary_axis_retarget|drive_loss_proxy,t5_boundary_axis_retarget,drive_loss_proxy,mapping_window_unspecified,168042,t5_boundary_axis_retarget,168042,understeer|oversteer,boundary_right,56,64,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0043,T5,t5_near_boundary_warmup|t5_boundary_axis_retarget,t5_near_boundary_warmup,t5_boundary_axis_retarget,mapping_window_unspecified,168043,t5_near_boundary_warmup,168043,brake_low|brake_high,near_right,50,58,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0044,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_step,t5_near_boundary_warmup,reveal_plus_4,168044,t5_near_boundary_warmup,168044,low_mu|high_mu,near_curve,50,58,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0045,T5,brake_fade_or_loss_proxy|late_reveal_boundary,brake_fade_or_loss_proxy,late_reveal_boundary,mapping_window_unspecified,168045,brake_fade_or_loss_proxy,168045,brake_ok|brake_loss_proxy,brake_fade_curve,36,44,single_track_symmetric_proxy,True,t5_near_boundary_warmup,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0046,T5,capability_step_down|t5_near_boundary_warmup,capability_step_down,t5_near_boundary_warmup,decision_minus_24,168046,t5_near_boundary_warmup,168046,low_mu|high_mu,near_left,34,42,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0047,T5,curved_boundary_obstacle|drive_loss_proxy,curved_boundary_obstacle,drive_loss_proxy,mapping_window_unspecified,168047,curved_boundary_obstacle,168047,understeer|neutral,curved_obstacle_left,36,44,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,t5_boundary_axis_retarget,curved_boundary_obstacle,decision_minus_32,168048,t5_boundary_axis_retarget,168048,understeer|oversteer,boundary_right,40,48,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0049,T5,drive_loss_proxy|curved_boundary_obstacle,drive_loss_proxy,curved_boundary_obstacle,mapping_window_unspecified,168049,drive_loss_proxy,168049,drive_ok|drive_cut_proxy,drive_loss_right,32,40,single_track_symmetric_proxy,True,t5_near_boundary_warmup,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0050,T5,t5_boundary_axis_retarget|drive_loss_proxy,t5_boundary_axis_retarget,drive_loss_proxy,mapping_window_unspecified,168050,t5_boundary_axis_retarget,168050,understeer|oversteer,boundary_curve,40,48,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_step,t5_near_boundary_warmup,reveal_plus_4,168051,t5_near_boundary_warmup,168051,brake_low|brake_high,near_curve,34,42,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0052,T5,capability_step_down|t5_near_boundary_warmup,capability_step_down,t5_near_boundary_warmup,decision_minus_24,168052,t5_near_boundary_warmup,168052,low_mu|high_mu,near_left,42,50,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0053,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,t5_boundary_axis_retarget,curved_boundary_obstacle,decision_minus_32,168053,t5_boundary_axis_retarget,168053,tau_fast|tau_slow,boundary_left,48,56,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0054,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_step,t5_near_boundary_warmup,reveal_plus_4,168054,t5_near_boundary_warmup,168054,low_mu|high_mu,near_right,42,50,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0055,T5,capability_step_down|t5_near_boundary_warmup,capability_step_down,t5_near_boundary_warmup,decision_minus_24,168055,t5_near_boundary_warmup,168055,brake_low|brake_high,near_right,42,50,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0056,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,t5_boundary_axis_retarget,curved_boundary_obstacle,decision_minus_32,168056,t5_boundary_axis_retarget,168056,understeer|oversteer,boundary_curve,48,56,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0057,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_step,t5_near_boundary_warmup,reveal_plus_4,168057,t5_near_boundary_warmup,168057,brake_low|brake_high,near_curve,42,50,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0058,T5,capability_step_down|t5_near_boundary_warmup,capability_step_down,t5_near_boundary_warmup,decision_minus_24,168058,t5_near_boundary_warmup,168058,low_mu|high_mu,near_left,50,58,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0059,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,t5_boundary_axis_retarget,curved_boundary_obstacle,decision_minus_32,168059,t5_boundary_axis_retarget,168059,tau_fast|tau_slow,boundary_left,56,64,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0060,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_step,t5_near_boundary_warmup,reveal_plus_4,168060,t5_near_boundary_warmup,168060,low_mu|high_mu,near_right,50,58,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0061,T5,capability_step_down|t5_near_boundary_warmup,capability_step_down,t5_near_boundary_warmup,decision_minus_24,168061,t5_near_boundary_warmup,168061,brake_low|brake_high,near_right,50,58,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0062,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,t5_boundary_axis_retarget,curved_boundary_obstacle,decision_minus_32,168062,t5_boundary_axis_retarget,168062,understeer|oversteer,boundary_curve,56,64,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0063,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_step,t5_near_boundary_warmup,reveal_plus_4,168063,t5_near_boundary_warmup,168063,brake_low|brake_high,near_curve,50,58,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0064,T5,capability_step_down|t5_near_boundary_warmup,capability_step_down,t5_near_boundary_warmup,decision_minus_24,168064,t5_near_boundary_warmup,168064,low_mu|high_mu,near_left,34,42,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0065,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,t5_boundary_axis_retarget,curved_boundary_obstacle,decision_minus_32,168065,t5_boundary_axis_retarget,168065,tau_fast|tau_slow,boundary_left,40,48,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0066,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_step,t5_near_boundary_warmup,reveal_plus_4,168066,t5_near_boundary_warmup,168066,low_mu|high_mu,near_right,34,42,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0067,T5,capability_step_down|t5_near_boundary_warmup,capability_step_down,t5_near_boundary_warmup,decision_minus_24,168067,t5_near_boundary_warmup,168067,brake_low|brake_high,near_right,34,42,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0068,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,t5_boundary_axis_retarget,curved_boundary_obstacle,decision_minus_32,168068,t5_boundary_axis_retarget,168068,understeer|oversteer,boundary_curve,40,48,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0069,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_step,t5_near_boundary_warmup,reveal_plus_4,168069,t5_near_boundary_warmup,168069,brake_low|brake_high,near_curve,34,42,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0070,T5,capability_step_down|t5_near_boundary_warmup,capability_step_down,t5_near_boundary_warmup,decision_minus_24,168070,t5_near_boundary_warmup,168070,low_mu|high_mu,near_left,42,50,existing_public_source,False,t5_near_boundary_warmup,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0071,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,t5_boundary_axis_retarget,curved_boundary_obstacle,decision_minus_32,168071,t5_boundary_axis_retarget,168071,tau_fast|tau_slow,boundary_left,48,56,existing_public_source,False,t5_boundary_axis_retarget,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
