candidate_id,role_family,dynamics_axis,seed,seed_index,backend_id,source_model,checkpoint_path,horizon_steps,source_only_surface_id,fixture_id,base_fixture_id,ordinary_success_denominator_allowed,mitigation_reference,actor_visible_labels,source_lineage
m2773_stable_aes_seed_265102_fresh_fault_delay_noise,stable_aes,fresh_fault_delay_noise,265102,2,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_stable_aes_fixture_fresh_seed_265102_axis_fault_delay_noise,hf0_four_wheel_stable_aes_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_aes_seed_265103_fresh_nominal_or_role_default,stable_aes,fresh_nominal_or_role_default,265103,3,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_stable_aes_fixture_fresh_seed_265103_axis_nominal,hf0_four_wheel_stable_aes_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_aes_seed_265103_fresh_fault_delay_noise,stable_aes,fresh_fault_delay_noise,265103,3,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_stable_aes_fixture_fresh_seed_265103_axis_fault_delay_noise,hf0_four_wheel_stable_aes_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_drift_required_recovery_seed_266100_fresh_nominal_or_role_default,drift_required_recovery,fresh_nominal_or_role_default,266100,0,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_nominal,hf0_four_wheel_drift_required_recovery_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_drift_required_recovery_seed_266100_fresh_fault_delay_noise,drift_required_recovery,fresh_fault_delay_noise,266100,0,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_drift_required_recovery_seed_266101_fresh_nominal_or_role_default,drift_required_recovery,fresh_nominal_or_role_default,266101,1,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_nominal,hf0_four_wheel_drift_required_recovery_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_drift_required_recovery_seed_266101_fresh_fault_delay_noise,drift_required_recovery,fresh_fault_delay_noise,266101,1,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_drift_required_recovery_seed_266102_fresh_nominal_or_role_default,drift_required_recovery,fresh_nominal_or_role_default,266102,2,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_nominal,hf0_four_wheel_drift_required_recovery_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_drift_required_recovery_seed_266102_fresh_fault_delay_noise,drift_required_recovery,fresh_fault_delay_noise,266102,2,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_drift_required_recovery_seed_266103_fresh_nominal_or_role_default,drift_required_recovery,fresh_nominal_or_role_default,266103,3,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266103_axis_nominal,hf0_four_wheel_drift_required_recovery_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_drift_required_recovery_seed_266103_fresh_fault_delay_noise,drift_required_recovery,fresh_fault_delay_noise,266103,3,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266103_axis_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_unavoidable_mitigation_seed_267100_fresh_nominal_or_role_default,unavoidable_mitigation,fresh_nominal_or_role_default,267100,0,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267100_axis_nominal,hf0_four_wheel_unavoidable_mitigation_fixture,False,True,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_unavoidable_mitigation_seed_267100_fresh_fault_delay_noise,unavoidable_mitigation,fresh_fault_delay_noise,267100,0,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267100_axis_fault_delay_noise,hf0_four_wheel_unavoidable_mitigation_fixture,False,True,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_unavoidable_mitigation_seed_267101_fresh_nominal_or_role_default,unavoidable_mitigation,fresh_nominal_or_role_default,267101,1,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267101_axis_nominal,hf0_four_wheel_unavoidable_mitigation_fixture,False,True,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_unavoidable_mitigation_seed_267101_fresh_fault_delay_noise,unavoidable_mitigation,fresh_fault_delay_noise,267101,1,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267101_axis_fault_delay_noise,hf0_four_wheel_unavoidable_mitigation_fixture,False,True,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_unavoidable_mitigation_seed_267102_fresh_nominal_or_role_default,unavoidable_mitigation,fresh_nominal_or_role_default,267102,2,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267102_axis_nominal,hf0_four_wheel_unavoidable_mitigation_fixture,False,True,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_unavoidable_mitigation_seed_267102_fresh_fault_delay_noise,unavoidable_mitigation,fresh_fault_delay_noise,267102,2,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267102_axis_fault_delay_noise,hf0_four_wheel_unavoidable_mitigation_fixture,False,True,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_unavoidable_mitigation_seed_267103_fresh_nominal_or_role_default,unavoidable_mitigation,fresh_nominal_or_role_default,267103,3,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267103_axis_nominal,hf0_four_wheel_unavoidable_mitigation_fixture,False,True,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_unavoidable_mitigation_seed_267103_fresh_fault_delay_noise,unavoidable_mitigation,fresh_fault_delay_noise,267103,3,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267103_axis_fault_delay_noise,hf0_four_wheel_unavoidable_mitigation_fixture,False,True,False,m2772_design_m2641_role_seed_axis_fixture_generator
