task_source_id,benchmark_spec_id,task_family,claim_level_target,scenario_source,source_kind,source_reference,source_index,source_seed,eval_seed_override,materialization_semantics,paper_validity_status,generated_proxy_source,profile_specific_tuning,actor_input_contract,controller_family_ranking_claim_made,finite_window_vs_gru_conclusion_made,paper_level_claim_made,level3_self_id_claim_made,metric_gap_policy,source_family_template,capability_pair,reveal_step,contract_violation_count,history_length_is_positive,action_history_mode_full,include_privileged_params_false,wheel_observation_mode_none,obstacle_relative_velocity_mode_zero,obstacle_enabled,obstacle_max_sample_attempts_at_least_200
m2151-current-sim-t2-02,current_sim_benchmark_v0_t2,T2_delayed_actuator_response,Claim_B_history_conditioned_output_feedback,current_sim_executable_materialization_v0,delayed_response,T2_delayed_actuator_response:2,2,215202,216102,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_actuator_delay_response,delayed_actuator_response,80,0,True,True,True,True,True,True,True
m2151-current-sim-t2-03,current_sim_benchmark_v0_t2,T2_delayed_actuator_response,Claim_B_history_conditioned_output_feedback,current_sim_executable_materialization_v0,delayed_response,T2_delayed_actuator_response:3,3,215203,216103,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_actuator_delay_response,delayed_actuator_response,84,0,True,True,True,True,True,True,True
m2151-current-sim-t2-04,current_sim_benchmark_v0_t2,T2_delayed_actuator_response,Claim_B_history_conditioned_output_feedback,current_sim_executable_materialization_v0,delayed_response,T2_delayed_actuator_response:4,4,215204,216104,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_actuator_delay_response,delayed_actuator_response,72,0,True,True,True,True,True,True,True
m2151-current-sim-t2-05,current_sim_benchmark_v0_t2,T2_delayed_actuator_response,Claim_B_history_conditioned_output_feedback,current_sim_executable_materialization_v0,delayed_response,T2_delayed_actuator_response:5,5,215205,216105,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_actuator_delay_response,delayed_actuator_response,76,0,True,True,True,True,True,True,True
m2151-current-sim-t2-06,current_sim_benchmark_v0_t2,T2_delayed_actuator_response,Claim_B_history_conditioned_output_feedback,current_sim_executable_materialization_v0,delayed_response,T2_delayed_actuator_response:6,6,215206,216106,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_actuator_delay_response,delayed_actuator_response,80,0,True,True,True,True,True,True,True
m2151-current-sim-t2-07,current_sim_benchmark_v0_t2,T2_delayed_actuator_response,Claim_B_history_conditioned_output_feedback,current_sim_executable_materialization_v0,delayed_response,T2_delayed_actuator_response:7,7,215207,216107,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_actuator_delay_response,delayed_actuator_response,84,0,True,True,True,True,True,True,True
m2151-current-sim-t3-00,current_sim_benchmark_v0_t3,T3_diagnostic_warmup_obstacle_reveal,Claim_B_or_C_history_value,current_sim_executable_materialization_v0,diagnostic_warmup,T3_diagnostic_warmup_obstacle_reveal:0,0,215300,217100,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_staged_warmup_capability,diagnostic_warmup,112,0,True,True,True,True,True,True,True
m2151-current-sim-t3-01,current_sim_benchmark_v0_t3,T3_diagnostic_warmup_obstacle_reveal,Claim_B_or_C_history_value,current_sim_executable_materialization_v0,diagnostic_warmup,T3_diagnostic_warmup_obstacle_reveal:1,1,215301,217101,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_staged_warmup_capability,diagnostic_warmup,116,0,True,True,True,True,True,True,True
m2151-current-sim-t3-02,current_sim_benchmark_v0_t3,T3_diagnostic_warmup_obstacle_reveal,Claim_B_or_C_history_value,current_sim_executable_materialization_v0,diagnostic_warmup,T3_diagnostic_warmup_obstacle_reveal:2,2,215302,217102,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_staged_warmup_capability,diagnostic_warmup,120,0,True,True,True,True,True,True,True
m2151-current-sim-t3-03,current_sim_benchmark_v0_t3,T3_diagnostic_warmup_obstacle_reveal,Claim_B_or_C_history_value,current_sim_executable_materialization_v0,diagnostic_warmup,T3_diagnostic_warmup_obstacle_reveal:3,3,215303,217103,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_staged_warmup_capability,diagnostic_warmup,124,0,True,True,True,True,True,True,True
m2151-current-sim-t3-04,current_sim_benchmark_v0_t3,T3_diagnostic_warmup_obstacle_reveal,Claim_B_or_C_history_value,current_sim_executable_materialization_v0,diagnostic_warmup,T3_diagnostic_warmup_obstacle_reveal:4,4,215304,217104,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_staged_warmup_capability,diagnostic_warmup,112,0,True,True,True,True,True,True,True
m2151-current-sim-t3-05,current_sim_benchmark_v0_t3,T3_diagnostic_warmup_obstacle_reveal,Claim_B_or_C_history_value,current_sim_executable_materialization_v0,diagnostic_warmup,T3_diagnostic_warmup_obstacle_reveal:5,5,215305,217105,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_staged_warmup_capability,diagnostic_warmup,116,0,True,True,True,True,True,True,True
m2151-current-sim-t3-06,current_sim_benchmark_v0_t3,T3_diagnostic_warmup_obstacle_reveal,Claim_B_or_C_history_value,current_sim_executable_materialization_v0,diagnostic_warmup,T3_diagnostic_warmup_obstacle_reveal:6,6,215306,217106,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_staged_warmup_capability,diagnostic_warmup,120,0,True,True,True,True,True,True,True
m2151-current-sim-t3-07,current_sim_benchmark_v0_t3,T3_diagnostic_warmup_obstacle_reveal,Claim_B_or_C_history_value,current_sim_executable_materialization_v0,diagnostic_warmup,T3_diagnostic_warmup_obstacle_reveal:7,7,215307,217107,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_staged_warmup_capability,diagnostic_warmup,124,0,True,True,True,True,True,True,True
m2151-current-sim-t4-00,current_sim_benchmark_v0_t4,T4_same_current_different_older_history,Claim_C_recurrent_belief_advantage,current_sim_executable_materialization_v0,same_current_older_history,T4_same_current_different_older_history:0,0,215400,218100,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_capability_step_temporal,older_history_ambiguity,120,0,True,True,True,True,True,True,True
m2151-current-sim-t4-01,current_sim_benchmark_v0_t4,T4_same_current_different_older_history,Claim_C_recurrent_belief_advantage,current_sim_executable_materialization_v0,same_current_older_history,T4_same_current_different_older_history:1,1,215401,218101,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_capability_step_temporal,older_history_ambiguity,124,0,True,True,True,True,True,True,True
m2151-current-sim-t4-02,current_sim_benchmark_v0_t4,T4_same_current_different_older_history,Claim_C_recurrent_belief_advantage,current_sim_executable_materialization_v0,same_current_older_history,T4_same_current_different_older_history:2,2,215402,218102,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_capability_step_temporal,older_history_ambiguity,128,0,True,True,True,True,True,True,True
m2151-current-sim-t4-03,current_sim_benchmark_v0_t4,T4_same_current_different_older_history,Claim_C_recurrent_belief_advantage,current_sim_executable_materialization_v0,same_current_older_history,T4_same_current_different_older_history:3,3,215403,218103,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_capability_step_temporal,older_history_ambiguity,132,0,True,True,True,True,True,True,True
m2151-current-sim-t4-04,current_sim_benchmark_v0_t4,T4_same_current_different_older_history,Claim_C_recurrent_belief_advantage,current_sim_executable_materialization_v0,same_current_older_history,T4_same_current_different_older_history:4,4,215404,218104,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_capability_step_temporal,older_history_ambiguity,120,0,True,True,True,True,True,True,True
m2151-current-sim-t4-05,current_sim_benchmark_v0_t4,T4_same_current_different_older_history,Claim_C_recurrent_belief_advantage,current_sim_executable_materialization_v0,same_current_older_history,T4_same_current_different_older_history:5,5,215405,218105,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_capability_step_temporal,older_history_ambiguity,124,0,True,True,True,True,True,True,True
m2151-current-sim-t4-06,current_sim_benchmark_v0_t4,T4_same_current_different_older_history,Claim_C_recurrent_belief_advantage,current_sim_executable_materialization_v0,same_current_older_history,T4_same_current_different_older_history:6,6,215406,218106,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_capability_step_temporal,older_history_ambiguity,128,0,True,True,True,True,True,True,True
m2151-current-sim-t4-07,current_sim_benchmark_v0_t4,T4_same_current_different_older_history,Claim_C_recurrent_belief_advantage,current_sim_executable_materialization_v0,same_current_older_history,T4_same_current_different_older_history:7,7,215407,218107,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_capability_step_temporal,older_history_ambiguity,132,0,True,True,True,True,True,True,True
m2151-current-sim-t5-00,current_sim_benchmark_v0_t5,T5_terminal_boundary_near_constraint,Claim_D_strong_self_identification,current_sim_executable_materialization_v0,terminal_boundary,T5_terminal_boundary_near_constraint:0,0,215500,219100,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_high_speed_close_obstacle,terminal_boundary,52,0,True,True,True,True,True,True,True
m2151-current-sim-t5-01,current_sim_benchmark_v0_t5,T5_terminal_boundary_near_constraint,Claim_D_strong_self_identification,current_sim_executable_materialization_v0,terminal_boundary,T5_terminal_boundary_near_constraint:1,1,215501,219101,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_high_speed_close_obstacle,terminal_boundary,56,0,True,True,True,True,True,True,True
m2151-current-sim-t5-02,current_sim_benchmark_v0_t5,T5_terminal_boundary_near_constraint,Claim_D_strong_self_identification,current_sim_executable_materialization_v0,terminal_boundary,T5_terminal_boundary_near_constraint:2,2,215502,219102,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_high_speed_close_obstacle,terminal_boundary,60,0,True,True,True,True,True,True,True
m2151-current-sim-t5-03,current_sim_benchmark_v0_t5,T5_terminal_boundary_near_constraint,Claim_D_strong_self_identification,current_sim_executable_materialization_v0,terminal_boundary,T5_terminal_boundary_near_constraint:3,3,215503,219103,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_high_speed_close_obstacle,terminal_boundary,64,0,True,True,True,True,True,True,True
m2151-current-sim-t5-04,current_sim_benchmark_v0_t5,T5_terminal_boundary_near_constraint,Claim_D_strong_self_identification,current_sim_executable_materialization_v0,terminal_boundary,T5_terminal_boundary_near_constraint:4,4,215504,219104,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_high_speed_close_obstacle,terminal_boundary,52,0,True,True,True,True,True,True,True
m2151-current-sim-t5-05,current_sim_benchmark_v0_t5,T5_terminal_boundary_near_constraint,Claim_D_strong_self_identification,current_sim_executable_materialization_v0,terminal_boundary,T5_terminal_boundary_near_constraint:5,5,215505,219105,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_high_speed_close_obstacle,terminal_boundary,56,0,True,True,True,True,True,True,True
m2151-current-sim-t5-06,current_sim_benchmark_v0_t5,T5_terminal_boundary_near_constraint,Claim_D_strong_self_identification,current_sim_executable_materialization_v0,terminal_boundary,T5_terminal_boundary_near_constraint:6,6,215506,219106,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_high_speed_close_obstacle,terminal_boundary,60,0,True,True,True,True,True,True,True
m2151-current-sim-t5-07,current_sim_benchmark_v0_t5,T5_terminal_boundary_near_constraint,Claim_D_strong_self_identification,current_sim_executable_materialization_v0,terminal_boundary,T5_terminal_boundary_near_constraint:7,7,215507,219107,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_high_speed_close_obstacle,terminal_boundary,64,0,True,True,True,True,True,True,True
