workload_id,task_source_id,benchmark_spec_id,profile_name,profile_level,profile_config_path,checkpoint_path,checkpoint_required_for_measured_execution,task_family,history_representation,history_window_steps,reset_or_truncated_control,environment_reset_scheduled,environment_rollout_scheduled,training_scheduled,profile_specific_tuning,controller_family_ranking_claim_made,finite_window_vs_gru_conclusion_made,paper_level_claim_made,level3_self_id_claim_made
m2151-current-sim-t1-03::L2_window_25,m2151-current-sim-t1-03,current_sim_benchmark_v0_t1,L2_window_25,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_25_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,25,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-03::L2_window_50,m2151-current-sim-t1-03,current_sim_benchmark_v0_t1,L2_window_50,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_50_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,50,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-03::L2_window_100,m2151-current-sim-t1-03,current_sim_benchmark_v0_t1,L2_window_100,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_100_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,100,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-03::L3_online_gru,m2151-current-sim-t1-03,current_sim_benchmark_v0_t1,L3_online_gru,L3_online_gru,configs/paper_route_profiles/m1190_l3_online_gru_smoke.json,,True,T1_reactive_emergency_avoidance,online_recurrent_hidden,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-03::L3_reset_control,m2151-current-sim-t1-03,current_sim_benchmark_v0_t1,L3_reset_control,L3_online_gru_reset_control,configs/paper_route_profiles/m1190_l3_reset_control_smoke.json,,True,T1_reactive_emergency_avoidance,online_recurrent_hidden,1,True,False,False,False,False,False,False,False,False
m2151-current-sim-t1-04::L0_current_masked,m2151-current-sim-t1-04,current_sim_benchmark_v0_t1,L0_current_masked,L0_current_observation,configs/paper_route_profiles/m1190_l0_current_masked_smoke.json,,True,T1_reactive_emergency_avoidance,current_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-04::L1_one_step,m2151-current-sim-t1-04,current_sim_benchmark_v0_t1,L1_one_step,L1_one_step_feedback,configs/paper_route_profiles/m1190_l1_one_step_smoke.json,,True,T1_reactive_emergency_avoidance,one_step_command_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-04::L2_window_13,m2151-current-sim-t1-04,current_sim_benchmark_v0_t1,L2_window_13,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_13_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,13,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-04::L2_window_25,m2151-current-sim-t1-04,current_sim_benchmark_v0_t1,L2_window_25,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_25_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,25,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-04::L2_window_50,m2151-current-sim-t1-04,current_sim_benchmark_v0_t1,L2_window_50,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_50_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,50,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-04::L2_window_100,m2151-current-sim-t1-04,current_sim_benchmark_v0_t1,L2_window_100,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_100_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,100,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-04::L3_online_gru,m2151-current-sim-t1-04,current_sim_benchmark_v0_t1,L3_online_gru,L3_online_gru,configs/paper_route_profiles/m1190_l3_online_gru_smoke.json,,True,T1_reactive_emergency_avoidance,online_recurrent_hidden,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-04::L3_reset_control,m2151-current-sim-t1-04,current_sim_benchmark_v0_t1,L3_reset_control,L3_online_gru_reset_control,configs/paper_route_profiles/m1190_l3_reset_control_smoke.json,,True,T1_reactive_emergency_avoidance,online_recurrent_hidden,1,True,False,False,False,False,False,False,False,False
m2151-current-sim-t1-05::L0_current_masked,m2151-current-sim-t1-05,current_sim_benchmark_v0_t1,L0_current_masked,L0_current_observation,configs/paper_route_profiles/m1190_l0_current_masked_smoke.json,,True,T1_reactive_emergency_avoidance,current_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-05::L1_one_step,m2151-current-sim-t1-05,current_sim_benchmark_v0_t1,L1_one_step,L1_one_step_feedback,configs/paper_route_profiles/m1190_l1_one_step_smoke.json,,True,T1_reactive_emergency_avoidance,one_step_command_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-05::L2_window_13,m2151-current-sim-t1-05,current_sim_benchmark_v0_t1,L2_window_13,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_13_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,13,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-05::L2_window_25,m2151-current-sim-t1-05,current_sim_benchmark_v0_t1,L2_window_25,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_25_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,25,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-05::L2_window_50,m2151-current-sim-t1-05,current_sim_benchmark_v0_t1,L2_window_50,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_50_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,50,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-05::L2_window_100,m2151-current-sim-t1-05,current_sim_benchmark_v0_t1,L2_window_100,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_100_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,100,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-05::L3_online_gru,m2151-current-sim-t1-05,current_sim_benchmark_v0_t1,L3_online_gru,L3_online_gru,configs/paper_route_profiles/m1190_l3_online_gru_smoke.json,,True,T1_reactive_emergency_avoidance,online_recurrent_hidden,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-05::L3_reset_control,m2151-current-sim-t1-05,current_sim_benchmark_v0_t1,L3_reset_control,L3_online_gru_reset_control,configs/paper_route_profiles/m1190_l3_reset_control_smoke.json,,True,T1_reactive_emergency_avoidance,online_recurrent_hidden,1,True,False,False,False,False,False,False,False,False
m2151-current-sim-t1-06::L0_current_masked,m2151-current-sim-t1-06,current_sim_benchmark_v0_t1,L0_current_masked,L0_current_observation,configs/paper_route_profiles/m1190_l0_current_masked_smoke.json,,True,T1_reactive_emergency_avoidance,current_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-06::L1_one_step,m2151-current-sim-t1-06,current_sim_benchmark_v0_t1,L1_one_step,L1_one_step_feedback,configs/paper_route_profiles/m1190_l1_one_step_smoke.json,,True,T1_reactive_emergency_avoidance,one_step_command_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-06::L2_window_13,m2151-current-sim-t1-06,current_sim_benchmark_v0_t1,L2_window_13,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_13_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,13,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-06::L2_window_25,m2151-current-sim-t1-06,current_sim_benchmark_v0_t1,L2_window_25,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_25_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,25,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-06::L2_window_50,m2151-current-sim-t1-06,current_sim_benchmark_v0_t1,L2_window_50,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_50_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,50,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-06::L2_window_100,m2151-current-sim-t1-06,current_sim_benchmark_v0_t1,L2_window_100,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_100_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,100,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-06::L3_online_gru,m2151-current-sim-t1-06,current_sim_benchmark_v0_t1,L3_online_gru,L3_online_gru,configs/paper_route_profiles/m1190_l3_online_gru_smoke.json,,True,T1_reactive_emergency_avoidance,online_recurrent_hidden,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-06::L3_reset_control,m2151-current-sim-t1-06,current_sim_benchmark_v0_t1,L3_reset_control,L3_online_gru_reset_control,configs/paper_route_profiles/m1190_l3_reset_control_smoke.json,,True,T1_reactive_emergency_avoidance,online_recurrent_hidden,1,True,False,False,False,False,False,False,False,False
m2151-current-sim-t1-07::L0_current_masked,m2151-current-sim-t1-07,current_sim_benchmark_v0_t1,L0_current_masked,L0_current_observation,configs/paper_route_profiles/m1190_l0_current_masked_smoke.json,,True,T1_reactive_emergency_avoidance,current_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-07::L1_one_step,m2151-current-sim-t1-07,current_sim_benchmark_v0_t1,L1_one_step,L1_one_step_feedback,configs/paper_route_profiles/m1190_l1_one_step_smoke.json,,True,T1_reactive_emergency_avoidance,one_step_command_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-07::L2_window_13,m2151-current-sim-t1-07,current_sim_benchmark_v0_t1,L2_window_13,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_13_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,13,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-07::L2_window_25,m2151-current-sim-t1-07,current_sim_benchmark_v0_t1,L2_window_25,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_25_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,25,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-07::L2_window_50,m2151-current-sim-t1-07,current_sim_benchmark_v0_t1,L2_window_50,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_50_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,50,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-07::L2_window_100,m2151-current-sim-t1-07,current_sim_benchmark_v0_t1,L2_window_100,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_100_smoke.json,,True,T1_reactive_emergency_avoidance,explicit_finite_window,100,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-07::L3_online_gru,m2151-current-sim-t1-07,current_sim_benchmark_v0_t1,L3_online_gru,L3_online_gru,configs/paper_route_profiles/m1190_l3_online_gru_smoke.json,,True,T1_reactive_emergency_avoidance,online_recurrent_hidden,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t1-07::L3_reset_control,m2151-current-sim-t1-07,current_sim_benchmark_v0_t1,L3_reset_control,L3_online_gru_reset_control,configs/paper_route_profiles/m1190_l3_reset_control_smoke.json,,True,T1_reactive_emergency_avoidance,online_recurrent_hidden,1,True,False,False,False,False,False,False,False,False
m2151-current-sim-t2-00::L0_current_masked,m2151-current-sim-t2-00,current_sim_benchmark_v0_t2,L0_current_masked,L0_current_observation,configs/paper_route_profiles/m1190_l0_current_masked_smoke.json,,True,T2_delayed_actuator_response,current_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-00::L1_one_step,m2151-current-sim-t2-00,current_sim_benchmark_v0_t2,L1_one_step,L1_one_step_feedback,configs/paper_route_profiles/m1190_l1_one_step_smoke.json,,True,T2_delayed_actuator_response,one_step_command_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-00::L2_window_13,m2151-current-sim-t2-00,current_sim_benchmark_v0_t2,L2_window_13,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_13_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,13,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-00::L2_window_25,m2151-current-sim-t2-00,current_sim_benchmark_v0_t2,L2_window_25,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_25_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,25,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-00::L2_window_50,m2151-current-sim-t2-00,current_sim_benchmark_v0_t2,L2_window_50,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_50_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,50,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-00::L2_window_100,m2151-current-sim-t2-00,current_sim_benchmark_v0_t2,L2_window_100,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_100_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,100,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-00::L3_online_gru,m2151-current-sim-t2-00,current_sim_benchmark_v0_t2,L3_online_gru,L3_online_gru,configs/paper_route_profiles/m1190_l3_online_gru_smoke.json,,True,T2_delayed_actuator_response,online_recurrent_hidden,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-00::L3_reset_control,m2151-current-sim-t2-00,current_sim_benchmark_v0_t2,L3_reset_control,L3_online_gru_reset_control,configs/paper_route_profiles/m1190_l3_reset_control_smoke.json,,True,T2_delayed_actuator_response,online_recurrent_hidden,1,True,False,False,False,False,False,False,False,False
m2151-current-sim-t2-01::L0_current_masked,m2151-current-sim-t2-01,current_sim_benchmark_v0_t2,L0_current_masked,L0_current_observation,configs/paper_route_profiles/m1190_l0_current_masked_smoke.json,,True,T2_delayed_actuator_response,current_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-01::L1_one_step,m2151-current-sim-t2-01,current_sim_benchmark_v0_t2,L1_one_step,L1_one_step_feedback,configs/paper_route_profiles/m1190_l1_one_step_smoke.json,,True,T2_delayed_actuator_response,one_step_command_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-01::L2_window_13,m2151-current-sim-t2-01,current_sim_benchmark_v0_t2,L2_window_13,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_13_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,13,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-01::L2_window_25,m2151-current-sim-t2-01,current_sim_benchmark_v0_t2,L2_window_25,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_25_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,25,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-01::L2_window_50,m2151-current-sim-t2-01,current_sim_benchmark_v0_t2,L2_window_50,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_50_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,50,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-01::L2_window_100,m2151-current-sim-t2-01,current_sim_benchmark_v0_t2,L2_window_100,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_100_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,100,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-01::L3_online_gru,m2151-current-sim-t2-01,current_sim_benchmark_v0_t2,L3_online_gru,L3_online_gru,configs/paper_route_profiles/m1190_l3_online_gru_smoke.json,,True,T2_delayed_actuator_response,online_recurrent_hidden,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-01::L3_reset_control,m2151-current-sim-t2-01,current_sim_benchmark_v0_t2,L3_reset_control,L3_online_gru_reset_control,configs/paper_route_profiles/m1190_l3_reset_control_smoke.json,,True,T2_delayed_actuator_response,online_recurrent_hidden,1,True,False,False,False,False,False,False,False,False
m2151-current-sim-t2-02::L0_current_masked,m2151-current-sim-t2-02,current_sim_benchmark_v0_t2,L0_current_masked,L0_current_observation,configs/paper_route_profiles/m1190_l0_current_masked_smoke.json,,True,T2_delayed_actuator_response,current_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-02::L1_one_step,m2151-current-sim-t2-02,current_sim_benchmark_v0_t2,L1_one_step,L1_one_step_feedback,configs/paper_route_profiles/m1190_l1_one_step_smoke.json,,True,T2_delayed_actuator_response,one_step_command_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-02::L2_window_13,m2151-current-sim-t2-02,current_sim_benchmark_v0_t2,L2_window_13,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_13_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,13,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-02::L2_window_25,m2151-current-sim-t2-02,current_sim_benchmark_v0_t2,L2_window_25,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_25_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,25,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-02::L2_window_50,m2151-current-sim-t2-02,current_sim_benchmark_v0_t2,L2_window_50,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_50_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,50,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-02::L2_window_100,m2151-current-sim-t2-02,current_sim_benchmark_v0_t2,L2_window_100,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_100_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,100,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-02::L3_online_gru,m2151-current-sim-t2-02,current_sim_benchmark_v0_t2,L3_online_gru,L3_online_gru,configs/paper_route_profiles/m1190_l3_online_gru_smoke.json,,True,T2_delayed_actuator_response,online_recurrent_hidden,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-02::L3_reset_control,m2151-current-sim-t2-02,current_sim_benchmark_v0_t2,L3_reset_control,L3_online_gru_reset_control,configs/paper_route_profiles/m1190_l3_reset_control_smoke.json,,True,T2_delayed_actuator_response,online_recurrent_hidden,1,True,False,False,False,False,False,False,False,False
m2151-current-sim-t2-03::L0_current_masked,m2151-current-sim-t2-03,current_sim_benchmark_v0_t2,L0_current_masked,L0_current_observation,configs/paper_route_profiles/m1190_l0_current_masked_smoke.json,,True,T2_delayed_actuator_response,current_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-03::L1_one_step,m2151-current-sim-t2-03,current_sim_benchmark_v0_t2,L1_one_step,L1_one_step_feedback,configs/paper_route_profiles/m1190_l1_one_step_smoke.json,,True,T2_delayed_actuator_response,one_step_command_response,1,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-03::L2_window_13,m2151-current-sim-t2-03,current_sim_benchmark_v0_t2,L2_window_13,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_13_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,13,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-03::L2_window_25,m2151-current-sim-t2-03,current_sim_benchmark_v0_t2,L2_window_25,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_25_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,25,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-03::L2_window_50,m2151-current-sim-t2-03,current_sim_benchmark_v0_t2,L2_window_50,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_50_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,50,False,False,False,False,False,False,False,False,False
m2151-current-sim-t2-03::L2_window_100,m2151-current-sim-t2-03,current_sim_benchmark_v0_t2,L2_window_100,L2_finite_window,configs/paper_route_profiles/m1190_l2_window_100_smoke.json,,True,T2_delayed_actuator_response,explicit_finite_window,100,False,False,False,False,False,False,False,False,False
