profile_name,normalized_surface_variant,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L2_window_13_current_tiled,post_friction_step,outcome_by_profile_normalized_surface,no_support,36,0,3,33,33,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,24.218923029225632,2.142974913094637,19.22222222222222,True,0,3,33,33,3,0
L2_window_13_current_tiled,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.34235284419221,4.197080284256103,16.375,True,0,0,8,8,0,0
L2_window_13_current_tiled,steady_surface,outcome_by_profile_normalized_surface,no_support,36,0,9,27,32,0.0,0.25,0.75,0.8888888888888888,20.858581637160178,-1.6576069399491855,16.916666666666668,True,0,9,27,32,4,0
L2_window_25,post_friction_step,outcome_by_profile_normalized_surface,no_support,36,0,4,32,33,0.0,0.1111111111111111,0.8888888888888888,0.9166666666666666,24.03166846436636,2.0236380712901108,19.63888888888889,True,0,4,32,33,3,0
L2_window_25,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.293707526814984,3.5442019607807267,16.5,True,0,0,8,8,0,0
L2_window_25,steady_surface,outcome_by_profile_normalized_surface,no_support,36,0,8,28,29,0.0,0.2222222222222222,0.7777777777777778,0.8055555555555556,20.75973221859038,-0.6703993644160552,17.083333333333332,True,0,8,28,29,7,0
L2_window_25_current_tiled,post_friction_step,outcome_by_profile_normalized_surface,no_support,36,0,5,31,33,0.0,0.1388888888888889,0.8611111111111112,0.9166666666666666,24.295459477209864,2.2188102379828094,19.11111111111111,True,0,5,31,33,3,0
L2_window_25_current_tiled,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.120926696926883,4.052229137912561,16.625,True,0,0,8,8,0,0
L2_window_25_current_tiled,steady_surface,outcome_by_profile_normalized_surface,no_support,36,0,9,27,32,0.0,0.25,0.75,0.8888888888888888,20.87097945407366,-1.229275096197237,16.86111111111111,True,0,9,27,32,4,0
L2_window_50,post_friction_step,outcome_by_profile_normalized_surface,no_support,36,0,3,33,34,0.0,0.08333333333333333,0.9166666666666666,0.9444444444444444,24.31395023111137,2.4830152355174326,19.194444444444443,True,0,3,33,34,2,0
L2_window_50,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.500296518538512,3.7847887903179385,16.25,True,0,0,8,8,0,0
L2_window_50,steady_surface,outcome_by_profile_normalized_surface,no_support,36,0,9,27,29,0.0,0.25,0.75,0.8055555555555556,20.80096340584531,-0.8839413548114808,17.055555555555557,True,0,9,27,29,7,0
L2_window_50_current_tiled,post_friction_step,outcome_by_profile_normalized_surface,no_support,36,0,3,33,34,0.0,0.08333333333333333,0.9166666666666666,0.9444444444444444,24.162074104535105,2.8600707981270004,19.305555555555557,True,0,3,33,34,2,0
L2_window_50_current_tiled,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.794782951211616,4.119565245399945,15.875,True,0,0,8,8,0,0
L2_window_50_current_tiled,steady_surface,outcome_by_profile_normalized_surface,no_support,36,0,8,28,31,0.0,0.2222222222222222,0.7777777777777778,0.8611111111111112,20.86326508896597,-0.8217377711580748,16.916666666666668,True,0,8,28,31,5,0
L3_online_gru,post_friction_step,outcome_by_profile_normalized_surface,weak_support,36,4,8,24,25,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.6944444444444444,22.44979159542931,9.67695884060785,22.75,True,4,8,24,25,7,4
L3_online_gru,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,15.042195417662963,8.396077552939442,18.0,True,0,0,8,8,0,0
L3_online_gru,steady_surface,outcome_by_profile_normalized_surface,comparison_ready_candidate_without_profile_diversity_check,36,5,8,23,23,0.1388888888888889,0.2222222222222222,0.6388888888888888,0.6388888888888888,19.502518443915914,8.738564091111261,19.77777777777778,True,5,8,23,23,8,5
L3_reset_control_corrected,post_friction_step,outcome_by_profile_normalized_surface,comparison_ready_candidate_without_profile_diversity_check,36,6,6,24,24,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,22.471991605616047,11.52574477215628,23.11111111111111,True,6,6,24,24,6,6
L3_reset_control_corrected,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,14.81432247109622,9.826237898878523,18.375,True,0,0,8,8,0,0
L3_reset_control_corrected,steady_surface,outcome_by_profile_normalized_surface,comparison_ready_candidate_without_profile_diversity_check,36,6,6,24,24,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,19.49641952387569,8.723384897110327,20.0,True,6,6,24,24,6,6
