action_id,panel_task_family,action_type,source_kind,panel_source_id,reason
generation-0017,T2_same_current_different_older_history,add_generated_source,same_current_steer_lag_older_history_proxy,m2029-t2-same_current_steer_lag_older_history_proxy-05,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0018,T2_same_current_different_older_history,add_generated_source,same_current_drive_brake_asymmetry_older_history_proxy,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0019,T2_same_current_different_older_history,add_generated_source,same_current_drive_brake_asymmetry_older_history_proxy,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0020,T2_same_current_different_older_history,add_generated_source,same_current_drive_brake_asymmetry_older_history_proxy,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0021,T2_same_current_different_older_history,add_generated_source,same_current_drive_brake_asymmetry_older_history_proxy,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-03,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0022,T2_same_current_different_older_history,add_generated_source,same_current_drive_brake_asymmetry_older_history_proxy,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-04,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0023,T2_same_current_different_older_history,add_generated_source,same_current_drive_brake_asymmetry_older_history_proxy,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-05,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0024,T2_same_current_different_older_history,add_generated_source,same_current_rear_lateral_authority_older_history_proxy,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0025,T2_same_current_different_older_history,add_generated_source,same_current_rear_lateral_authority_older_history_proxy,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0026,T2_same_current_different_older_history,add_generated_source,same_current_rear_lateral_authority_older_history_proxy,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0027,T2_same_current_different_older_history,add_generated_source,same_current_rear_lateral_authority_older_history_proxy,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-03,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0028,T2_same_current_different_older_history,add_generated_source,same_current_rear_lateral_authority_older_history_proxy,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-04,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0029,T2_same_current_different_older_history,add_generated_source,same_current_rear_lateral_authority_older_history_proxy,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-05,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0030,T2_same_current_different_older_history,add_generated_source,same_current_mixed_authority_older_history_proxy,m2029-t2-same_current_mixed_authority_older_history_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0031,T2_same_current_different_older_history,add_generated_source,same_current_mixed_authority_older_history_proxy,m2029-t2-same_current_mixed_authority_older_history_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0032,T2_same_current_different_older_history,add_generated_source,same_current_mixed_authority_older_history_proxy,m2029-t2-same_current_mixed_authority_older_history_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0033,T2_same_current_different_older_history,add_generated_source,same_current_mixed_authority_older_history_proxy,m2029-t2-same_current_mixed_authority_older_history_proxy-03,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0034,T2_same_current_different_older_history,add_generated_source,same_current_mixed_authority_older_history_proxy,m2029-t2-same_current_mixed_authority_older_history_proxy-04,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0035,T2_same_current_different_older_history,add_generated_source,same_current_mixed_authority_older_history_proxy,m2029-t2-same_current_mixed_authority_older_history_proxy-05,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0036,T3_active_diagnostic_warmup,add_generated_source,warmup_brake_authority_proxy,m2029-t3-warmup_brake_authority_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0037,T3_active_diagnostic_warmup,add_generated_source,warmup_brake_authority_proxy,m2029-t3-warmup_brake_authority_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0038,T3_active_diagnostic_warmup,add_generated_source,warmup_brake_authority_proxy,m2029-t3-warmup_brake_authority_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0039,T3_active_diagnostic_warmup,add_generated_source,warmup_yaw_authority_proxy,m2029-t3-warmup_yaw_authority_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0040,T3_active_diagnostic_warmup,add_generated_source,warmup_yaw_authority_proxy,m2029-t3-warmup_yaw_authority_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0041,T3_active_diagnostic_warmup,add_generated_source,warmup_yaw_authority_proxy,m2029-t3-warmup_yaw_authority_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0042,T3_active_diagnostic_warmup,add_generated_source,warmup_steer_lag_proxy,m2029-t3-warmup_steer_lag_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0043,T3_active_diagnostic_warmup,add_generated_source,warmup_steer_lag_proxy,m2029-t3-warmup_steer_lag_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0044,T3_active_diagnostic_warmup,add_generated_source,warmup_steer_lag_proxy,m2029-t3-warmup_steer_lag_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0045,T3_active_diagnostic_warmup,add_generated_source,warmup_rear_lateral_authority_proxy,m2029-t3-warmup_rear_lateral_authority_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0046,T3_active_diagnostic_warmup,add_generated_source,warmup_rear_lateral_authority_proxy,m2029-t3-warmup_rear_lateral_authority_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0047,T3_active_diagnostic_warmup,add_generated_source,warmup_rear_lateral_authority_proxy,m2029-t3-warmup_rear_lateral_authority_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0048,T3_active_diagnostic_warmup,add_generated_source,warmup_mixed_authority_proxy,m2029-t3-warmup_mixed_authority_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0049,T3_active_diagnostic_warmup,add_generated_source,warmup_mixed_authority_proxy,m2029-t3-warmup_mixed_authority_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0050,T3_active_diagnostic_warmup,add_generated_source,warmup_mixed_authority_proxy,m2029-t3-warmup_mixed_authority_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0051,T3_active_diagnostic_warmup,add_generated_source,warmup_terminal_boundary_recovery_proxy,m2029-t3-warmup_terminal_boundary_recovery_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0052,T3_active_diagnostic_warmup,add_generated_source,warmup_terminal_boundary_recovery_proxy,m2029-t3-warmup_terminal_boundary_recovery_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0053,T3_active_diagnostic_warmup,add_generated_source,warmup_terminal_boundary_recovery_proxy,m2029-t3-warmup_terminal_boundary_recovery_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
