source_spec_id,panel_task_family,source_kind,source_origin,source_edge,window_tag,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label,source_reference,same_current_constraint,recent_window_seconds,older_history_offset_seconds,warmup_mode,warmup_duration_seconds,obstacle_reveal_delay_seconds,labels_enter_actor_input,profile_specific_tuning,controller_family_ranking_claim_made,paper_level_claim_made,level3_self_id_claim_made
m2029-t2-same_current_yaw_authority_older_history_proxy-04,T2_same_current_different_older_history,same_current_yaw_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_yaw_authority_older_history_proxy|k0p5|older2p0,m2029_same_current_k0p5_older2p0,same_current_different_older_history,T2_generated,same_current_yaw_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_yaw_authority_older_history_proxy-04,matched_current_response_previous_command_and_recent_window,0.5,2.0,,,,False,False,False,False,False
m2029-t2-same_current_yaw_authority_older_history_proxy-05,T2_same_current_different_older_history,same_current_yaw_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_yaw_authority_older_history_proxy|k1p0|older3p0,m2029_same_current_k1p0_older3p0,same_current_different_older_history,T2_generated,same_current_yaw_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_yaw_authority_older_history_proxy-05,matched_current_response_previous_command_and_recent_window,1.0,3.0,,,,False,False,False,False,False
m2029-t2-same_current_steer_lag_older_history_proxy-00,T2_same_current_different_older_history,same_current_steer_lag_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_steer_lag_older_history_proxy|k0p25|older1p5,m2029_same_current_k0p25_older1p5,same_current_different_older_history,T2_generated,same_current_steer_lag_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_steer_lag_older_history_proxy-00,matched_current_response_previous_command_and_recent_window,0.25,1.5,,,,False,False,False,False,False
m2029-t2-same_current_steer_lag_older_history_proxy-01,T2_same_current_different_older_history,same_current_steer_lag_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_steer_lag_older_history_proxy|k0p5|older1p5,m2029_same_current_k0p5_older1p5,same_current_different_older_history,T2_generated,same_current_steer_lag_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_steer_lag_older_history_proxy-01,matched_current_response_previous_command_and_recent_window,0.5,1.5,,,,False,False,False,False,False
m2029-t2-same_current_steer_lag_older_history_proxy-02,T2_same_current_different_older_history,same_current_steer_lag_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_steer_lag_older_history_proxy|k1p0|older1p5,m2029_same_current_k1p0_older1p5,same_current_different_older_history,T2_generated,same_current_steer_lag_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_steer_lag_older_history_proxy-02,matched_current_response_previous_command_and_recent_window,1.0,1.5,,,,False,False,False,False,False
m2029-t2-same_current_steer_lag_older_history_proxy-03,T2_same_current_different_older_history,same_current_steer_lag_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_steer_lag_older_history_proxy|k0p25|older2p0,m2029_same_current_k0p25_older2p0,same_current_different_older_history,T2_generated,same_current_steer_lag_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_steer_lag_older_history_proxy-03,matched_current_response_previous_command_and_recent_window,0.25,2.0,,,,False,False,False,False,False
m2029-t2-same_current_steer_lag_older_history_proxy-04,T2_same_current_different_older_history,same_current_steer_lag_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_steer_lag_older_history_proxy|k0p5|older2p0,m2029_same_current_k0p5_older2p0,same_current_different_older_history,T2_generated,same_current_steer_lag_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_steer_lag_older_history_proxy-04,matched_current_response_previous_command_and_recent_window,0.5,2.0,,,,False,False,False,False,False
m2029-t2-same_current_steer_lag_older_history_proxy-05,T2_same_current_different_older_history,same_current_steer_lag_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_steer_lag_older_history_proxy|k1p0|older3p0,m2029_same_current_k1p0_older3p0,same_current_different_older_history,T2_generated,same_current_steer_lag_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_steer_lag_older_history_proxy-05,matched_current_response_previous_command_and_recent_window,1.0,3.0,,,,False,False,False,False,False
m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_drive_brake_asymmetry_older_history_proxy|k0p25|older1p5,m2029_same_current_k0p25_older1p5,same_current_different_older_history,T2_generated,same_current_drive_brake_asymmetry_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,matched_current_response_previous_command_and_recent_window,0.25,1.5,,,,False,False,False,False,False
m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-01,T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_drive_brake_asymmetry_older_history_proxy|k0p5|older1p5,m2029_same_current_k0p5_older1p5,same_current_different_older_history,T2_generated,same_current_drive_brake_asymmetry_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-01,matched_current_response_previous_command_and_recent_window,0.5,1.5,,,,False,False,False,False,False
m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-02,T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_drive_brake_asymmetry_older_history_proxy|k1p0|older1p5,m2029_same_current_k1p0_older1p5,same_current_different_older_history,T2_generated,same_current_drive_brake_asymmetry_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-02,matched_current_response_previous_command_and_recent_window,1.0,1.5,,,,False,False,False,False,False
m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-03,T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_drive_brake_asymmetry_older_history_proxy|k0p25|older2p0,m2029_same_current_k0p25_older2p0,same_current_different_older_history,T2_generated,same_current_drive_brake_asymmetry_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-03,matched_current_response_previous_command_and_recent_window,0.25,2.0,,,,False,False,False,False,False
m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-04,T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_drive_brake_asymmetry_older_history_proxy|k0p5|older2p0,m2029_same_current_k0p5_older2p0,same_current_different_older_history,T2_generated,same_current_drive_brake_asymmetry_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-04,matched_current_response_previous_command_and_recent_window,0.5,2.0,,,,False,False,False,False,False
m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-05,T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_drive_brake_asymmetry_older_history_proxy|k1p0|older3p0,m2029_same_current_k1p0_older3p0,same_current_different_older_history,T2_generated,same_current_drive_brake_asymmetry_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-05,matched_current_response_previous_command_and_recent_window,1.0,3.0,,,,False,False,False,False,False
m2029-t2-same_current_rear_lateral_authority_older_history_proxy-00,T2_same_current_different_older_history,same_current_rear_lateral_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_rear_lateral_authority_older_history_proxy|k0p25|older1p5,m2029_same_current_k0p25_older1p5,same_current_different_older_history,T2_generated,same_current_rear_lateral_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-00,matched_current_response_previous_command_and_recent_window,0.25,1.5,,,,False,False,False,False,False
m2029-t2-same_current_rear_lateral_authority_older_history_proxy-01,T2_same_current_different_older_history,same_current_rear_lateral_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_rear_lateral_authority_older_history_proxy|k0p5|older1p5,m2029_same_current_k0p5_older1p5,same_current_different_older_history,T2_generated,same_current_rear_lateral_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-01,matched_current_response_previous_command_and_recent_window,0.5,1.5,,,,False,False,False,False,False
m2029-t2-same_current_rear_lateral_authority_older_history_proxy-02,T2_same_current_different_older_history,same_current_rear_lateral_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_rear_lateral_authority_older_history_proxy|k1p0|older1p5,m2029_same_current_k1p0_older1p5,same_current_different_older_history,T2_generated,same_current_rear_lateral_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-02,matched_current_response_previous_command_and_recent_window,1.0,1.5,,,,False,False,False,False,False
m2029-t2-same_current_rear_lateral_authority_older_history_proxy-03,T2_same_current_different_older_history,same_current_rear_lateral_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_rear_lateral_authority_older_history_proxy|k0p25|older2p0,m2029_same_current_k0p25_older2p0,same_current_different_older_history,T2_generated,same_current_rear_lateral_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-03,matched_current_response_previous_command_and_recent_window,0.25,2.0,,,,False,False,False,False,False
m2029-t2-same_current_rear_lateral_authority_older_history_proxy-04,T2_same_current_different_older_history,same_current_rear_lateral_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_rear_lateral_authority_older_history_proxy|k0p5|older2p0,m2029_same_current_k0p5_older2p0,same_current_different_older_history,T2_generated,same_current_rear_lateral_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-04,matched_current_response_previous_command_and_recent_window,0.5,2.0,,,,False,False,False,False,False
m2029-t2-same_current_rear_lateral_authority_older_history_proxy-05,T2_same_current_different_older_history,same_current_rear_lateral_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_rear_lateral_authority_older_history_proxy|k1p0|older3p0,m2029_same_current_k1p0_older3p0,same_current_different_older_history,T2_generated,same_current_rear_lateral_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_rear_lateral_authority_older_history_proxy-05,matched_current_response_previous_command_and_recent_window,1.0,3.0,,,,False,False,False,False,False
m2029-t2-same_current_mixed_authority_older_history_proxy-00,T2_same_current_different_older_history,same_current_mixed_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_mixed_authority_older_history_proxy|k0p25|older1p5,m2029_same_current_k0p25_older1p5,same_current_different_older_history,T2_generated,same_current_mixed_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_mixed_authority_older_history_proxy-00,matched_current_response_previous_command_and_recent_window,0.25,1.5,,,,False,False,False,False,False
m2029-t2-same_current_mixed_authority_older_history_proxy-01,T2_same_current_different_older_history,same_current_mixed_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_mixed_authority_older_history_proxy|k0p5|older1p5,m2029_same_current_k0p5_older1p5,same_current_different_older_history,T2_generated,same_current_mixed_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_mixed_authority_older_history_proxy-01,matched_current_response_previous_command_and_recent_window,0.5,1.5,,,,False,False,False,False,False
m2029-t2-same_current_mixed_authority_older_history_proxy-02,T2_same_current_different_older_history,same_current_mixed_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_mixed_authority_older_history_proxy|k1p0|older1p5,m2029_same_current_k1p0_older1p5,same_current_different_older_history,T2_generated,same_current_mixed_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_mixed_authority_older_history_proxy-02,matched_current_response_previous_command_and_recent_window,1.0,1.5,,,,False,False,False,False,False
m2029-t2-same_current_mixed_authority_older_history_proxy-03,T2_same_current_different_older_history,same_current_mixed_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_mixed_authority_older_history_proxy|k0p25|older2p0,m2029_same_current_k0p25_older2p0,same_current_different_older_history,T2_generated,same_current_mixed_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_mixed_authority_older_history_proxy-03,matched_current_response_previous_command_and_recent_window,0.25,2.0,,,,False,False,False,False,False
m2029-t2-same_current_mixed_authority_older_history_proxy-04,T2_same_current_different_older_history,same_current_mixed_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_mixed_authority_older_history_proxy|k0p5|older2p0,m2029_same_current_k0p5_older2p0,same_current_different_older_history,T2_generated,same_current_mixed_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_mixed_authority_older_history_proxy-04,matched_current_response_previous_command_and_recent_window,0.5,2.0,,,,False,False,False,False,False
m2029-t2-same_current_mixed_authority_older_history_proxy-05,T2_same_current_different_older_history,same_current_mixed_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_mixed_authority_older_history_proxy|k1p0|older3p0,m2029_same_current_k1p0_older3p0,same_current_different_older_history,T2_generated,same_current_mixed_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_mixed_authority_older_history_proxy-05,matched_current_response_previous_command_and_recent_window,1.0,3.0,,,,False,False,False,False,False
m2029-t3-warmup_brake_authority_proxy-00,T3_active_diagnostic_warmup,warmup_brake_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_brake_authority_proxy|brake_tap|duration0p5|reveal0p2,m2029_warmup_brake_tap_reveal0p2,active_diagnostic_warmup,T3_generated,warmup_brake_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_brake_authority_proxy-00,,,,brake_tap,0.5,0.2,False,False,False,False,False
m2029-t3-warmup_brake_authority_proxy-01,T3_active_diagnostic_warmup,warmup_brake_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_brake_authority_proxy|steer_pulse|duration1p0|reveal0p5,m2029_warmup_steer_pulse_reveal0p5,active_diagnostic_warmup,T3_generated,warmup_brake_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_brake_authority_proxy-01,,,,steer_pulse,1.0,0.5,False,False,False,False,False
m2029-t3-warmup_brake_authority_proxy-02,T3_active_diagnostic_warmup,warmup_brake_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_brake_authority_proxy|brake_plus_steer|duration1p5|reveal1p0,m2029_warmup_brake_plus_steer_reveal1p0,active_diagnostic_warmup,T3_generated,warmup_brake_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_brake_authority_proxy-02,,,,brake_plus_steer,1.5,1.0,False,False,False,False,False
m2029-t3-warmup_yaw_authority_proxy-00,T3_active_diagnostic_warmup,warmup_yaw_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_yaw_authority_proxy|brake_tap|duration0p5|reveal0p2,m2029_warmup_brake_tap_reveal0p2,active_diagnostic_warmup,T3_generated,warmup_yaw_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_yaw_authority_proxy-00,,,,brake_tap,0.5,0.2,False,False,False,False,False
m2029-t3-warmup_yaw_authority_proxy-01,T3_active_diagnostic_warmup,warmup_yaw_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_yaw_authority_proxy|steer_pulse|duration1p0|reveal0p5,m2029_warmup_steer_pulse_reveal0p5,active_diagnostic_warmup,T3_generated,warmup_yaw_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_yaw_authority_proxy-01,,,,steer_pulse,1.0,0.5,False,False,False,False,False
m2029-t3-warmup_yaw_authority_proxy-02,T3_active_diagnostic_warmup,warmup_yaw_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_yaw_authority_proxy|brake_plus_steer|duration1p5|reveal1p0,m2029_warmup_brake_plus_steer_reveal1p0,active_diagnostic_warmup,T3_generated,warmup_yaw_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_yaw_authority_proxy-02,,,,brake_plus_steer,1.5,1.0,False,False,False,False,False
m2029-t3-warmup_steer_lag_proxy-00,T3_active_diagnostic_warmup,warmup_steer_lag_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_steer_lag_proxy|brake_tap|duration0p5|reveal0p2,m2029_warmup_brake_tap_reveal0p2,active_diagnostic_warmup,T3_generated,warmup_steer_lag_proxy,active_diagnostic_warmup,m2029-t3-warmup_steer_lag_proxy-00,,,,brake_tap,0.5,0.2,False,False,False,False,False
m2029-t3-warmup_steer_lag_proxy-01,T3_active_diagnostic_warmup,warmup_steer_lag_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_steer_lag_proxy|steer_pulse|duration1p0|reveal0p5,m2029_warmup_steer_pulse_reveal0p5,active_diagnostic_warmup,T3_generated,warmup_steer_lag_proxy,active_diagnostic_warmup,m2029-t3-warmup_steer_lag_proxy-01,,,,steer_pulse,1.0,0.5,False,False,False,False,False
m2029-t3-warmup_steer_lag_proxy-02,T3_active_diagnostic_warmup,warmup_steer_lag_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_steer_lag_proxy|brake_plus_steer|duration1p5|reveal1p0,m2029_warmup_brake_plus_steer_reveal1p0,active_diagnostic_warmup,T3_generated,warmup_steer_lag_proxy,active_diagnostic_warmup,m2029-t3-warmup_steer_lag_proxy-02,,,,brake_plus_steer,1.5,1.0,False,False,False,False,False
m2029-t3-warmup_rear_lateral_authority_proxy-00,T3_active_diagnostic_warmup,warmup_rear_lateral_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_rear_lateral_authority_proxy|brake_tap|duration0p5|reveal0p2,m2029_warmup_brake_tap_reveal0p2,active_diagnostic_warmup,T3_generated,warmup_rear_lateral_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_rear_lateral_authority_proxy-00,,,,brake_tap,0.5,0.2,False,False,False,False,False
m2029-t3-warmup_rear_lateral_authority_proxy-01,T3_active_diagnostic_warmup,warmup_rear_lateral_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_rear_lateral_authority_proxy|steer_pulse|duration1p0|reveal0p5,m2029_warmup_steer_pulse_reveal0p5,active_diagnostic_warmup,T3_generated,warmup_rear_lateral_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_rear_lateral_authority_proxy-01,,,,steer_pulse,1.0,0.5,False,False,False,False,False
m2029-t3-warmup_rear_lateral_authority_proxy-02,T3_active_diagnostic_warmup,warmup_rear_lateral_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_rear_lateral_authority_proxy|brake_plus_steer|duration1p5|reveal1p0,m2029_warmup_brake_plus_steer_reveal1p0,active_diagnostic_warmup,T3_generated,warmup_rear_lateral_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_rear_lateral_authority_proxy-02,,,,brake_plus_steer,1.5,1.0,False,False,False,False,False
m2029-t3-warmup_mixed_authority_proxy-00,T3_active_diagnostic_warmup,warmup_mixed_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_mixed_authority_proxy|brake_tap|duration0p5|reveal0p2,m2029_warmup_brake_tap_reveal0p2,active_diagnostic_warmup,T3_generated,warmup_mixed_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_mixed_authority_proxy-00,,,,brake_tap,0.5,0.2,False,False,False,False,False
m2029-t3-warmup_mixed_authority_proxy-01,T3_active_diagnostic_warmup,warmup_mixed_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_mixed_authority_proxy|steer_pulse|duration1p0|reveal0p5,m2029_warmup_steer_pulse_reveal0p5,active_diagnostic_warmup,T3_generated,warmup_mixed_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_mixed_authority_proxy-01,,,,steer_pulse,1.0,0.5,False,False,False,False,False
m2029-t3-warmup_mixed_authority_proxy-02,T3_active_diagnostic_warmup,warmup_mixed_authority_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_mixed_authority_proxy|brake_plus_steer|duration1p5|reveal1p0,m2029_warmup_brake_plus_steer_reveal1p0,active_diagnostic_warmup,T3_generated,warmup_mixed_authority_proxy,active_diagnostic_warmup,m2029-t3-warmup_mixed_authority_proxy-02,,,,brake_plus_steer,1.5,1.0,False,False,False,False,False
m2029-t3-warmup_terminal_boundary_recovery_proxy-00,T3_active_diagnostic_warmup,warmup_terminal_boundary_recovery_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_terminal_boundary_recovery_proxy|brake_tap|duration0p5|reveal0p2,m2029_warmup_brake_tap_reveal0p2,active_diagnostic_warmup,T3_generated,warmup_terminal_boundary_recovery_proxy,active_diagnostic_warmup,m2029-t3-warmup_terminal_boundary_recovery_proxy-00,,,,brake_tap,0.5,0.2,False,False,False,False,False
m2029-t3-warmup_terminal_boundary_recovery_proxy-01,T3_active_diagnostic_warmup,warmup_terminal_boundary_recovery_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_terminal_boundary_recovery_proxy|steer_pulse|duration1p0|reveal0p5,m2029_warmup_steer_pulse_reveal0p5,active_diagnostic_warmup,T3_generated,warmup_terminal_boundary_recovery_proxy,active_diagnostic_warmup,m2029-t3-warmup_terminal_boundary_recovery_proxy-01,,,,steer_pulse,1.0,0.5,False,False,False,False,False
m2029-t3-warmup_terminal_boundary_recovery_proxy-02,T3_active_diagnostic_warmup,warmup_terminal_boundary_recovery_proxy,m2029_t2_t3_source_generation_preflight,active_diagnostic_warmup|warmup_terminal_boundary_recovery_proxy|brake_plus_steer|duration1p5|reveal1p0,m2029_warmup_brake_plus_steer_reveal1p0,active_diagnostic_warmup,T3_generated,warmup_terminal_boundary_recovery_proxy,active_diagnostic_warmup,m2029-t3-warmup_terminal_boundary_recovery_proxy-02,,,,brake_plus_steer,1.5,1.0,False,False,False,False,False
