task_source_id,panel_task_family,source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
m2063-osd-osd_v0_0204_t5,T5_terminal_boundary_near_constraint,near_zero_clearance_margin,outcome_by_source_family_kind,weak_support,5,2,2,1,1,0.4,0.4,0.2,0.2,0.39590109214481556,43.18409484823868,54.8,2,L1_one_step;L3_online_gru,1,m2063-osd-osd_v0_0204_t5,True,2,2,1,1,2,2
m2063-osd-osd_v0_0205_t5,T5_terminal_boundary_near_constraint,late_terminal_boundary_margin,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.057052964279569275,-13.03121184151835,18.2,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0206_t5,T5_terminal_boundary_near_constraint,tight_road_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07688722062336892,4.898085401683283,35.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0207_t5,T5_terminal_boundary_near_constraint,low_grip_terminal_boundary,outcome_by_source_family_kind,weak_support,5,2,2,1,1,0.4,0.4,0.2,0.2,0.16929015593001068,49.57440068783326,56.8,2,L1_one_step;L3_online_gru,1,m2063-osd-osd_v0_0207_t5,True,2,2,1,1,2,2
m2063-osd-osd_v0_0208_t5,T5_terminal_boundary_near_constraint,actuator_delay_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.08090795781891816,-4.395848085878246,26.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0209_t5,T5_terminal_boundary_near_constraint,mixed_dynamics_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.0761088504396286,-4.026274584315379,28.2,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0210_t5,T5_terminal_boundary_near_constraint,near_zero_clearance_margin,outcome_by_source_family_kind,weak_support,5,2,2,1,1,0.4,0.4,0.2,0.2,0.43448614252333984,52.404542799075635,68.2,2,L3_online_gru;L3_reset_control_corrected,1,m2063-osd-osd_v0_0210_t5,True,2,2,1,1,2,2
m2063-osd-osd_v0_0211_t5,T5_terminal_boundary_near_constraint,late_terminal_boundary_margin,outcome_by_source_family_kind,weak_support,5,1,4,0,0,0.2,0.8,0.0,0.0,-0.020867726262983277,13.635593206093555,32.2,1,L0_current_masked,1,m2063-osd-osd_v0_0211_t5,True,1,4,0,0,4,1
m2063-osd-osd_v0_0212_t5,T5_terminal_boundary_near_constraint,tight_road_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.08803881847666895,0.6280064626952389,32.8,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0213_t5,T5_terminal_boundary_near_constraint,low_grip_terminal_boundary,outcome_by_source_family_kind,weak_support,5,1,3,1,1,0.2,0.6,0.2,0.2,0.18344099045042656,18.57296118067176,41.0,1,L3_online_gru,1,m2063-osd-osd_v0_0213_t5,True,1,3,1,1,3,1
m2063-osd-osd_v0_0214_t5,T5_terminal_boundary_near_constraint,actuator_delay_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07239669566074958,11.584059457287193,41.8,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0215_t5,T5_terminal_boundary_near_constraint,mixed_dynamics_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.13870152224544854,4.403562464974291,34.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0216_t5,T5_terminal_boundary_near_constraint,near_zero_clearance_margin,outcome_by_source_family_kind,weak_support,5,2,2,1,1,0.4,0.4,0.2,0.2,0.6511445896809649,38.86056987493341,52.4,2,L1_one_step;L3_reset_control_corrected,1,m2063-osd-osd_v0_0216_t5,True,2,2,1,1,2,2
m2063-osd-osd_v0_0217_t5,T5_terminal_boundary_near_constraint,late_terminal_boundary_margin,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.1161571536966171,-9.997300052396232,21.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0218_t5,T5_terminal_boundary_near_constraint,tight_road_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.06492593524513887,9.629781746958383,37.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0219_t5,T5_terminal_boundary_near_constraint,low_grip_terminal_boundary,outcome_by_source_family_kind,weak_support,5,2,2,1,1,0.4,0.4,0.2,0.2,0.5443805790162104,30.597961846099235,42.4,2,L0_current_masked;L3_reset_control_corrected,1,m2063-osd-osd_v0_0219_t5,True,2,2,1,1,2,2
m2063-osd-osd_v0_0220_t5,T5_terminal_boundary_near_constraint,actuator_delay_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.13423121742312377,-4.700237151164346,25.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0221_t5,T5_terminal_boundary_near_constraint,mixed_dynamics_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07893039723719479,-4.943967406509895,27.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0222_t5,T5_terminal_boundary_near_constraint,near_zero_clearance_margin,outcome_by_source_family_kind,weak_support,5,2,3,0,0,0.4,0.6,0.0,0.0,0.10385305462539271,48.98132205866723,66.6,2,L1_one_step;L3_reset_control_corrected,1,m2063-osd-osd_v0_0222_t5,True,2,3,0,0,3,2
m2063-osd-osd_v0_0223_t5,T5_terminal_boundary_near_constraint,late_terminal_boundary_margin,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.08036306134844518,-9.47080143313041,21.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0224_t5,T5_terminal_boundary_near_constraint,tight_road_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.0914987230434972,2.9553305165497767,33.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0225_t5,T5_terminal_boundary_near_constraint,low_grip_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,4,1,1,0.0,0.8,0.2,0.2,0.08997074278399028,5.76145910987213,35.0,0,,0,,True,0,4,1,1,4,0
m2063-osd-osd_v0_0226_t5,T5_terminal_boundary_near_constraint,actuator_delay_terminal_boundary,outcome_by_source_family_kind,weak_support,5,1,4,0,0,0.2,0.8,0.0,0.0,-0.06856612602248664,16.785518152674562,44.8,1,L2_window_50,1,m2063-osd-osd_v0_0226_t5,True,1,4,0,0,4,1
m2063-osd-osd_v0_0227_t5,T5_terminal_boundary_near_constraint,mixed_dynamics_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.09229058241571342,6.267772998170125,35.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0228_t5,T5_terminal_boundary_near_constraint,near_zero_clearance_margin,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.08553512237208363,14.822594635522563,51.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0229_t5,T5_terminal_boundary_near_constraint,late_terminal_boundary_margin,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.05989036287886853,-16.36253050740469,15.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0230_t5,T5_terminal_boundary_near_constraint,tight_road_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07440437716307283,8.231615417449206,37.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0231_t5,T5_terminal_boundary_near_constraint,low_grip_terminal_boundary,outcome_by_source_family_kind,weak_support,5,1,4,0,0,0.2,0.8,0.0,0.0,0.17775583303678988,21.727360845710983,46.0,1,L3_online_gru,1,m2063-osd-osd_v0_0231_t5,True,1,4,0,0,4,1
m2063-osd-osd_v0_0232_t5,T5_terminal_boundary_near_constraint,actuator_delay_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.0822079592985964,-0.316623691510836,29.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0233_t5,T5_terminal_boundary_near_constraint,mixed_dynamics_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.12471062992526907,-6.208012744805451,25.2,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0234_t5,T5_terminal_boundary_near_constraint,near_zero_clearance_margin,outcome_by_source_family_kind,weak_support,5,1,3,1,1,0.2,0.6,0.2,0.2,0.7494115380374714,27.80215828132422,57.4,1,L0_current_masked,1,m2063-osd-osd_v0_0234_t5,True,1,3,1,1,3,1
m2063-osd-osd_v0_0235_t5,T5_terminal_boundary_near_constraint,late_terminal_boundary_margin,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.08480864018261122,-1.8107944196929417,27.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0236_t5,T5_terminal_boundary_near_constraint,tight_road_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.1566513054226509,0.4188792650085091,32.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0237_t5,T5_terminal_boundary_near_constraint,low_grip_terminal_boundary,outcome_by_source_family_kind,weak_support,5,1,3,1,1,0.2,0.6,0.2,0.2,0.6981438723195126,22.271460932728917,43.4,1,L3_reset_control_corrected,1,m2063-osd-osd_v0_0237_t5,True,1,3,1,1,3,1
m2063-osd-osd_v0_0238_t5,T5_terminal_boundary_near_constraint,actuator_delay_terminal_boundary,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07205469916898868,16.417653374206047,45.2,0,,0,,True,0,5,0,0,5,0
