seed_panel_id,role_family,seed_index,seed,base_fixture_id,fixture_id,surface_id,fixture_variant_digest,initial_state_digest,fault_scale_digest,road_digest,obstacle_digest,role_metadata_only,seed_metadata_only,hidden_diagnostics_metadata_only,actor_input_contract_changed,variant_reason,dynamics_axis_id,dynamics_axis_family,axis_index,source_only_fault_axis_applied,delay_noise_diagnostic_metadata_only
m2641_drift_required_recovery_seed_266100_fresh_nominal_or_role_default,drift_required_recovery,0,266100,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_nominal,source_only_four_wheel_hf0,35d098162b06d108,0f6d3fda78b910d5,c2b1287cf2529668,9bb281648dfe7d6f,b5ff26d45595a3cb,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_drift_required_recovery_seed_266100_fresh_fault_delay_noise,drift_required_recovery,0,266100,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,source_only_four_wheel_hf0,7b44d482302311b4,0f6d3fda78b910d5,9265a4f5598062ab,9bb281648dfe7d6f,b5ff26d45595a3cb,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_drift_required_recovery_seed_266101_fresh_nominal_or_role_default,drift_required_recovery,1,266101,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_nominal,source_only_four_wheel_hf0,cf011587f48d3a60,88f912cedd03e625,dfb8e6ed0f015710,04ec655caf3580c1,4c7d383633731379,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_drift_required_recovery_seed_266101_fresh_fault_delay_noise,drift_required_recovery,1,266101,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_fault_delay_noise,source_only_four_wheel_hf0,6b7cbabbba5633de,88f912cedd03e625,9369aa7f4aa82a7d,04ec655caf3580c1,4c7d383633731379,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_drift_required_recovery_seed_266102_fresh_nominal_or_role_default,drift_required_recovery,2,266102,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_nominal,source_only_four_wheel_hf0,9e7096710f874471,d079149c6d3fdd33,58b5d5dfff1bb5d1,4ee3390bcf99e7f3,49258f277f5cda89,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_drift_required_recovery_seed_266102_fresh_fault_delay_noise,drift_required_recovery,2,266102,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_fault_delay_noise,source_only_four_wheel_hf0,8c690978c9f0a182,d079149c6d3fdd33,47fc8e3302b2309e,4ee3390bcf99e7f3,49258f277f5cda89,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_drift_required_recovery_seed_266103_fresh_nominal_or_role_default,drift_required_recovery,3,266103,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266103_axis_nominal,source_only_four_wheel_hf0,400a7fb0550a9f06,688319e8c18abc3e,f6db01bc6fb8aee9,c4d4d2c3fdb79d34,fddfc4b874cd0ccc,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_drift_required_recovery_seed_266103_fresh_fault_delay_noise,drift_required_recovery,3,266103,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266103_axis_fault_delay_noise,source_only_four_wheel_hf0,c7662fcb66c65c7f,688319e8c18abc3e,8a8f87a3540a0295,c4d4d2c3fdb79d34,fddfc4b874cd0ccc,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_unavoidable_mitigation_seed_267100_fresh_nominal_or_role_default,unavoidable_mitigation,0,267100,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267100_axis_nominal,source_only_four_wheel_hf0,1a78f9532aa58ea7,bf28ddff6498f9c4,923a063dc9188204,e77c2f0ce5d4dacf,87fb236d44582f6f,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_unavoidable_mitigation_seed_267100_fresh_fault_delay_noise,unavoidable_mitigation,0,267100,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267100_axis_fault_delay_noise,source_only_four_wheel_hf0,bba9837477c2a501,bf28ddff6498f9c4,4874456a9140a578,e77c2f0ce5d4dacf,87fb236d44582f6f,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_unavoidable_mitigation_seed_267101_fresh_nominal_or_role_default,unavoidable_mitigation,1,267101,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267101_axis_nominal,source_only_four_wheel_hf0,3936e29c5460e888,e62326fc10605d66,96da776beff435c7,9c7e91df3975ee91,e97f603ce6ceb698,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_unavoidable_mitigation_seed_267101_fresh_fault_delay_noise,unavoidable_mitigation,1,267101,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267101_axis_fault_delay_noise,source_only_four_wheel_hf0,92c951fce8a21183,e62326fc10605d66,edc1b860e23059df,9c7e91df3975ee91,e97f603ce6ceb698,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_unavoidable_mitigation_seed_267102_fresh_nominal_or_role_default,unavoidable_mitigation,2,267102,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267102_axis_nominal,source_only_four_wheel_hf0,7904d5810f5c0b99,b4f51c10baf8dd1a,c8cfc37b21630cd3,79cb9fc164be54d7,763f9b2c2a63bb88,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_unavoidable_mitigation_seed_267102_fresh_fault_delay_noise,unavoidable_mitigation,2,267102,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267102_axis_fault_delay_noise,source_only_four_wheel_hf0,40e53dfc7a688b7a,b4f51c10baf8dd1a,7915a33e08a06a91,79cb9fc164be54d7,763f9b2c2a63bb88,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_unavoidable_mitigation_seed_267103_fresh_nominal_or_role_default,unavoidable_mitigation,3,267103,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267103_axis_nominal,source_only_four_wheel_hf0,199c7cd2c13d44ba,7335f577ad98d1d8,e6cfdc33d6fa3ffb,2572094f2969aba4,b0a0b1cbf0717f06,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_unavoidable_mitigation_seed_267103_fresh_fault_delay_noise,unavoidable_mitigation,3,267103,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_267103_axis_fault_delay_noise,source_only_four_wheel_hf0,13a53a6f3bdd2c8c,7335f577ad98d1d8,350404603b3a1fc2,2572094f2969aba4,b0a0b1cbf0717f06,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
