fresh_panel_row_id,eval_seed,spec,label,m3105_outcome,m3105_outcome_bucket,m3105_termination_reason,binding_role,axis_id,task_family
m3082-fresh-panel-0019,401610,m3012-executable-source-spec-0004,aeb_feasible,success,success_obstacle_pass,,candidate,offtrack_boundary_recovery,T5
m3082-fresh-panel-0020,401611,m3012-executable-source-spec-0004,aeb_feasible,success,success_obstacle_pass,,parent,offtrack_boundary_recovery,T5
m3082-fresh-panel-0021,401620,m3012-executable-source-spec-0006,aeb_feasible,success,success_obstacle_pass,,candidate,offtrack_boundary_recovery,T5
m3082-fresh-panel-0022,401621,m3012-executable-source-spec-0006,aeb_feasible,success,success_obstacle_pass,,parent,offtrack_boundary_recovery,T5
m3082-fresh-panel-0023,401630,m3012-executable-source-spec-0008,aeb_feasible,success,success_obstacle_pass,,candidate,offtrack_boundary_recovery,T5
m3082-fresh-panel-0024,401631,m3012-executable-source-spec-0008,drift_required,offtrack,off_track_noncollision_noncompletion,off_track,parent,offtrack_boundary_recovery,T5
m3082-fresh-panel-0025,401640,m3012-executable-source-spec-0010,drift_required,collision,collision_failure,obstacle_collision,candidate,offtrack_boundary_recovery,T5
m3082-fresh-panel-0026,401641,m3012-executable-source-spec-0010,unavoidable,collision,collision_failure,obstacle_collision,parent,offtrack_boundary_recovery,T5
m3082-fresh-panel-0027,401650,m3012-executable-source-spec-0012,aeb_feasible,success,success_obstacle_pass,,candidate,offtrack_boundary_recovery,T5
m3082-fresh-panel-0028,401651,m3012-executable-source-spec-0012,aeb_feasible,success,success_obstacle_pass,,parent,offtrack_boundary_recovery,T5
m3082-fresh-panel-0029,401660,m3012-executable-source-spec-0014,unavoidable,collision,collision_failure,obstacle_collision,candidate,offtrack_boundary_recovery,T5
m3082-fresh-panel-0030,401661,m3012-executable-source-spec-0014,aeb_feasible,success,success_obstacle_pass,,parent,offtrack_boundary_recovery,T5
m3082-fresh-panel-0031,401670,m3012-executable-source-spec-0016,aeb_feasible,success,success_obstacle_pass,,candidate,offtrack_boundary_recovery,T5
m3082-fresh-panel-0032,401671,m3012-executable-source-spec-0016,aeb_feasible,success,success_obstacle_pass,,parent,offtrack_boundary_recovery,T5
m3082-fresh-panel-0033,401700,m3012-executable-source-spec-0001,aeb_feasible,success,success_obstacle_pass,,candidate,speed_floor_stress,T4
m3082-fresh-panel-0034,401701,m3012-executable-source-spec-0001,aeb_feasible,success,success_obstacle_pass,,parent,speed_floor_stress,T4
m3082-fresh-panel-0035,401710,m3012-executable-source-spec-0003,aeb_feasible,success,success_obstacle_pass,,candidate,speed_floor_stress,T4
m3082-fresh-panel-0036,401711,m3012-executable-source-spec-0003,aeb_feasible,success,success_obstacle_pass,,parent,speed_floor_stress,T4
m3082-fresh-panel-0037,401720,m3012-executable-source-spec-0005,aeb_feasible,success,success_obstacle_pass,,candidate,speed_floor_stress,T4
m3082-fresh-panel-0038,401721,m3012-executable-source-spec-0005,aeb_feasible,success,success_obstacle_pass,,parent,speed_floor_stress,T4
m3082-fresh-panel-0039,401730,m3012-executable-source-spec-0007,aeb_feasible,success,success_obstacle_pass,,candidate,speed_floor_stress,T4
m3082-fresh-panel-0040,401731,m3012-executable-source-spec-0007,aeb_feasible,success,success_obstacle_pass,,parent,speed_floor_stress,T4
m3082-fresh-panel-0041,401740,m3012-executable-source-spec-0009,aeb_feasible,success,success_obstacle_pass,,candidate,speed_floor_stress,T4
m3082-fresh-panel-0042,401741,m3012-executable-source-spec-0009,aeb_feasible,success,success_obstacle_pass,,parent,speed_floor_stress,T4
m3082-fresh-panel-0043,401750,m3012-executable-source-spec-0011,aeb_feasible,success,success_obstacle_pass,,candidate,speed_floor_stress,T4
m3082-fresh-panel-0044,401751,m3012-executable-source-spec-0011,aeb_feasible,success,success_obstacle_pass,,parent,speed_floor_stress,T4
m3082-fresh-panel-0045,401760,m3012-executable-source-spec-0013,aeb_feasible,success,success_obstacle_pass,,candidate,speed_floor_stress,T4
m3082-fresh-panel-0046,401761,m3012-executable-source-spec-0013,aeb_feasible,success,success_obstacle_pass,,parent,speed_floor_stress,T4
m3082-fresh-panel-0047,401770,m3012-executable-source-spec-0015,aeb_feasible,success,success_obstacle_pass,,candidate,speed_floor_stress,T4
m3082-fresh-panel-0048,401771,m3012-executable-source-spec-0015,aeb_feasible,success,success_obstacle_pass,,parent,speed_floor_stress,T4
m3082-fresh-panel-0049,401800,m3012-executable-source-spec-0001,aeb_feasible,success,success_obstacle_pass,,candidate,stability_action_pressure,T4
m3082-fresh-panel-0050,401801,m3012-executable-source-spec-0001,aeb_feasible,success,success_obstacle_pass,,parent,stability_action_pressure,T4
m3082-fresh-panel-0051,401810,m3012-executable-source-spec-0003,aeb_feasible,success,success_obstacle_pass,,candidate,stability_action_pressure,T4
m3082-fresh-panel-0052,401811,m3012-executable-source-spec-0003,aeb_feasible,success,success_obstacle_pass,,parent,stability_action_pressure,T4
m3082-fresh-panel-0053,401820,m3012-executable-source-spec-0005,aeb_feasible,success,success_obstacle_pass,,candidate,stability_action_pressure,T4
m3082-fresh-panel-0054,401821,m3012-executable-source-spec-0005,aeb_feasible,success,success_obstacle_pass,,parent,stability_action_pressure,T4
m3082-fresh-panel-0055,401830,m3012-executable-source-spec-0007,aeb_feasible,success,success_obstacle_pass,,candidate,stability_action_pressure,T4
m3082-fresh-panel-0056,401831,m3012-executable-source-spec-0007,aeb_feasible,success,success_obstacle_pass,,parent,stability_action_pressure,T4
m3082-fresh-panel-0057,401840,m3012-executable-source-spec-0009,aeb_feasible,success,success_obstacle_pass,,candidate,stability_action_pressure,T4
m3082-fresh-panel-0058,401841,m3012-executable-source-spec-0009,aeb_feasible,success,success_obstacle_pass,,parent,stability_action_pressure,T4
m3082-fresh-panel-0059,401850,m3012-executable-source-spec-0011,aeb_feasible,success,success_obstacle_pass,,candidate,stability_action_pressure,T4
m3082-fresh-panel-0060,401851,m3012-executable-source-spec-0011,aeb_feasible,success,success_obstacle_pass,,parent,stability_action_pressure,T4
m3082-fresh-panel-0061,401860,m3012-executable-source-spec-0013,aeb_feasible,success,success_obstacle_pass,,candidate,stability_action_pressure,T4
m3082-fresh-panel-0062,401861,m3012-executable-source-spec-0013,aeb_feasible,success,success_obstacle_pass,,parent,stability_action_pressure,T4
m3082-fresh-panel-0063,401870,m3012-executable-source-spec-0015,aeb_feasible,success,success_obstacle_pass,,candidate,stability_action_pressure,T4
m3082-fresh-panel-0064,401871,m3012-executable-source-spec-0015,aeb_feasible,success,success_obstacle_pass,,parent,stability_action_pressure,T4
